datasetid,splitid,modelname,detector,k,slicename,slicevalue,nrows,nalerts,alert_rate
A1,roll_01,mlr,raw,14,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,raw,14,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,raw,14,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,raw,14,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,raw,14,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,raw,14,imputed_any,0,156,0,0.0
A1,roll_01,mlr,raw,14,imputed_any,1,11,0,0.0
A1,roll_01,mlr,raw,14,overall,ALL,167,0,0.0
A1,roll_01,mlr,raw,15,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,raw,15,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,raw,15,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,raw,15,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,raw,15,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,raw,15,imputed_any,0,156,0,0.0
A1,roll_01,mlr,raw,15,imputed_any,1,11,0,0.0
A1,roll_01,mlr,raw,15,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,3,gaplendemandbin,0,167,10,0.059880239520958084
A1,roll_01,mlr,residual,3,gaplenpoolbin,0,167,10,0.059880239520958084
A1,roll_01,mlr,residual,3,gaplenpvbin,0,156,10,0.0641025641025641
A1,roll_01,mlr,residual,3,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,3,gaplentempbin,0,167,10,0.059880239520958084
A1,roll_01,mlr,residual,3,imputed_any,0,156,10,0.0641025641025641
A1,roll_01,mlr,residual,3,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,3,overall,ALL,167,10,0.059880239520958084
A1,roll_01,mlr,residual,4,gaplendemandbin,0,167,4,0.023952095808383235
A1,roll_01,mlr,residual,4,gaplenpoolbin,0,167,4,0.023952095808383235
A1,roll_01,mlr,residual,4,gaplenpvbin,0,156,4,0.02564102564102564
A1,roll_01,mlr,residual,4,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,4,gaplentempbin,0,167,4,0.023952095808383235
A1,roll_01,mlr,residual,4,imputed_any,0,156,4,0.02564102564102564
A1,roll_01,mlr,residual,4,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,4,overall,ALL,167,4,0.023952095808383235
A1,roll_01,mlr,residual,5,gaplendemandbin,0,167,1,0.005988023952095809
A1,roll_01,mlr,residual,5,gaplenpoolbin,0,167,1,0.005988023952095809
A1,roll_01,mlr,residual,5,gaplenpvbin,0,156,1,0.00641025641025641
A1,roll_01,mlr,residual,5,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,5,gaplentempbin,0,167,1,0.005988023952095809
A1,roll_01,mlr,residual,5,imputed_any,0,156,1,0.00641025641025641
A1,roll_01,mlr,residual,5,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,5,overall,ALL,167,1,0.005988023952095809
A1,roll_01,mlr,residual,6,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,6,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,6,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,6,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,6,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,6,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,6,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,6,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,7,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,7,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,7,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,7,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,7,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,7,imputed_any,0,156,0,0.0
A1,roll_01,mlr,residual,7,imputed_any,1,11,0,0.0
A1,roll_01,mlr,residual,7,overall,ALL,167,0,0.0
A1,roll_01,mlr,residual,8,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,residual,8,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,residual,8,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,residual,8,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,residual,8,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,residual,8,imputed_any,0,156,0,0.0
